,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,name,position,value,Goals_Assists,position_short,team_short,understat_ID,xG,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,Difficulty,Avg_Difficulty,GW,Opponents,Home_away
10,75.0,75.0,209289,0,0,0,0,0,3,2.0,2.0,0,Emile,0.0,12,False,Lack of match fitness - 75% chance of playing,2022-08-04T15:00:05.286949Z,60,209289.jpg,0.0,Smith Rowe,1.3,False,,d,Arsenal,3,0,462,462,29283,29283,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,555,243,560,244,554,242,560,244,5.0,,,,,,Emile Smith Rowe Smith Rowe,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
11,,,223340,0,0,0,0,0,3,3.2,3.2,6,Bukayo,6.0,13,False,,,80,223340.jpg,0.8,Saka,22.2,False,,a,Arsenal,3,6,44042,44042,60515,60515,0.8,0.8,Saka,90,0,1,1,0,0,0,0,0,0,0,0,10,1.8,7.6,36.0,4.5,243,110,121,70,27,13,87,50,1.0,,,,1.0,,Bukayo Saka Saka,Midfielder,0.8,1,M,ARS,7322,0.2325785905122757,0.0,3.0,0.0,0.0,0.2325785905122757,0.34141114354133606,0.10883256793022156,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
12,75.0,75.0,223723,0,0,0,0,0,2,1.8,1.8,0,Takehiro,0.0,14,False,Lack of match fitness - 75% chance of playing,2022-08-04T15:00:05.298873Z,45,223723.jpg,0.0,Tomiyasu,1.7,False,,d,Arsenal,3,0,355,355,29384,29384,0.0,0.0,Tomiyasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,412,182,415,181,374,168,428,182,,,,,,,Takehiro Tomiyasu Tomiyasu,Defender,0.0,0,D,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
13,,,225321,0,0,0,0,0,1,3.6,3.6,6,Aaron,6.0,15,False,,,50,225321.jpg,1.2,Ramsdale,15.2,False,,a,Arsenal,3,6,46480,46480,26941,26941,1.2,1.2,Ramsdale,90,0,0,1,0,0,0,0,0,0,2,0,25,19.0,0.0,0.0,1.9,82,10,523,52,500,52,183,10,,,,,,,Aaron Ramsdale Ramsdale,Goalkeeper,1.2,0,GK,ARS,5603,0.0,0.0,0.0,0.0,0.0,0.0,0.05762733146548271,0.05762733146548271,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
14,,,226597,0,0,0,0,0,2,2.8,2.8,7,Gabriel,7.0,16,False,,,50,226597.jpg,1.4,dos Santos Magalhães,8.6,False,,a,Arsenal,3,7,20517,20517,28999,28999,1.4,1.4,Gabriel,90,0,0,1,0,0,0,0,0,0,0,1,26,24.2,0.6,2.0,2.7,58,22,214,74,169,51,142,48,,,,,,,Gabriel dos Santos Magalhães Gabriel,Defender,1.4,0,D,ARS,5613,0.0,0.0,0.0,0.0,0.0,0.0,0.05762733146548271,0.05762733146548271,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
15,0.0,0.0,437626,0,0,0,0,0,2,0.0,0.0,0,Nuno,0.0,17,False,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,437626.jpg,0.0,Varela Tavares,0.0,False,,u,Arsenal,3,0,0,0,587,587,0.0,0.0,Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,434,190,437,189,398,178,446,189,,,,,,,Nuno Varela Tavares Tavares,Defender,0.0,0,D,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
16,,,437742,0,0,0,0,0,3,1.5,1.5,1,Albert,1.0,18,False,,,45,437742.jpg,0.2,Sambi Lokonga,0.3,False,,a,Arsenal,3,1,1924,1924,1880,1880,0.2,0.2,Sambi,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,435,159,438,168,399,145,447,167,,,,,,,Albert Sambi Lokonga Sambi,Midfielder,0.2,0,M,ARS,9689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
17,,,444145,0,0,0,0,0,3,2.7,2.7,8,Gabriel,8.0,19,False,,,60,444145.jpg,1.3,Martinelli Silva,24.5,False,,a,Arsenal,3,8,210006,210006,21692,21692,1.3,1.3,Martinelli,90,1,0,1,0,0,0,0,0,0,0,0,23,38.2,15.2,39.0,9.2,25,11,79,51,20,10,22,13,4.0,,5.0,,2.0,,Gabriel Martinelli Silva Martinelli,Midfielder,1.3,1,M,ARS,7752,0.878940761089325,0.06403198838233948,2.0,1.0,1.0,0.878940761089325,0.46210524439811707,0.05762733146548271,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
18,,,92371,0,0,0,0,0,2,2.4,2.4,0,Pablo,0.0,20,False,,,45,92371.jpg,0.0,Marí Villar,0.1,False,,a,Arsenal,3,0,96,96,524,524,0.0,0.0,Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,356,153,352,150,293,120,372,153,,,,,,,Pablo Marí Villar Pablo Marí,Defender,0.0,0,D,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
19,,,154043,0,0,0,0,0,3,2.1,2.1,0,Ainsley,0.0,21,False,,,50,154043.jpg,0.0,Maitland-Niles,0.1,False,,a,Arsenal,3,0,264,264,829,829,0.0,0.0,Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,492,199,501,207,469,187,503,205,,,,,,,Ainsley Maitland-Niles Maitland-Niles,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
20,,,198849,0,0,0,0,0,3,1.5,1.5,0,Lucas,0.0,22,False,,,45,198849.jpg,0.0,Torreira di Pascua,0.5,False,,a,Arsenal,3,0,2134,2134,5304,5304,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,394,139,394,149,345,125,410,148,,,,,,,Lucas Torreira di Pascua Torreira,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
21,,,200641,0,0,0,0,0,3,2.1,2.1,0,Reiss,0.0,23,False,,,50,200641.jpg,0.0,Nelson,0.0,False,,a,Arsenal,3,0,70,70,337,337,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,506,210,514,217,489,200,516,215,,,,,,,Reiss Nelson Nelson,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
22,,,224068,0,0,0,0,0,1,1.5,1.5,0,Matt,0.0,24,False,,,40,224068.jpg,0.0,Turner,0.8,False,,a,Arsenal,3,0,2190,2190,3662,3662,0.0,0.0,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,305,42,300,23,234,23,321,42,,,,,,,Matt Turner Turner,Goalkeeper,0.0,0,GK,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
23,75.0,75.0,438098,0,0,0,0,0,3,2.0,2.0,0,Fábio,0.0,25,False,Lack of match fitness - 75% chance of playing,2022-08-04T15:00:05.309562Z,60,438098.jpg,0.0,Ferreira Vieira,0.1,False,,d,Arsenal,3,0,72,72,2948,2948,0.0,0.0,Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,557,244,561,245,558,244,561,245,,,,,,,Fábio Ferreira Vieira Fábio Vieira,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
24,,,462424,0,0,0,0,0,2,2.4,2.4,8,William,8.0,26,False,,,45,462424.jpg,1.8,Saliba,3.9,False,,a,Arsenal,3,8,100135,100135,9481,9481,1.8,1.8,Saliba,90,0,0,1,0,0,0,0,0,0,0,2,30,22.2,0.1,0.0,2.2,64,25,255,93,415,183,167,61,,,,,,,William Saliba Saliba,Defender,1.8,0,D,ARS,6888,0.0,0.0,0.0,0.0,0.0,0.0,0.07888688892126083,0.07888688892126083,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
25,,,479683,0,0,0,0,0,3,2.1,2.1,0,Marcus,0.0,27,False,,,50,479683.jpg,0.0,Oliveira Alencar,0.1,False,,a,Arsenal,3,0,228,228,1367,1367,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,522,222,530,227,512,216,532,227,,,,,,,Marcus Oliveira Alencar Marquinhos,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
26,,,205651,0,0,0,0,0,4,3.1,3.1,2,Gabriel,2.0,28,False,,,80,205651.jpg,0.2,Fernando de Jesus,73.0,False,,a,Arsenal,3,2,48340,48340,194188,194188,0.2,0.2,Jesus,82,0,0,1,0,0,0,0,0,0,0,0,7,7.4,3.2,38.0,4.9,179,12,146,18,22,9,73,12,,,,,,,Gabriel Fernando de Jesus Jesus,Forward,0.2,0,F,ARS,5543,0.18183407187461853,0.0,1.0,0.0,0.0,0.18183407187461853,0.2266346514225006,0.04480058327317238,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
27,,,206325,1,-1,1,-1,1,2,2.9,2.9,12,Oleksandr,12.0,313,True,,,51,206325.jpg,2.4,Zinchenko,21.2,False,,a,Arsenal,3,12,369637,369637,14443,14443,2.4,2.4,Zinchenko,82,0,1,1,0,0,0,0,0,0,0,3,38,40.0,23.3,21.0,8.4,16,5,45,9,59,11,28,6,,,,,,,Oleksandr Zinchenko Zinchenko,Defender,2.4,1,D,ARS,2958,0.04480058327317238,0.5875208973884583,1.0,2.0,0.0,0.04480058327317238,0.09382665157318115,0.04902607202529907,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
28,,,84583,0,0,0,0,0,3,2.4,2.9,2,Philippe,2.0,29,False,,,70,84583.jpg,0.3,Coutinho Correia,16.4,False,,a,Aston Villa,7,2,27246,27246,87904,87904,0.3,0.3,Coutinho,81,0,0,0,2,0,0,0,0,0,0,0,7,3.0,19.9,21.0,4.4,225,98,54,37,61,34,89,51,4.0,,1.0,,2.0,,Philippe Coutinho Correia Coutinho,Midfielder,0.3,0,M,AVL,488,0.0579199455678463,0.03658315911889076,2.0,1.0,0.0,0.0579199455678463,0.1948309987783432,0.1369110494852066,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
29,,,84939,0,0,0,0,0,4,2.2,2.7,1,Danny,1.0,30,False,,,70,84939.jpg,0.1,Ings,2.2,False,,a,Aston Villa,7,1,7445,7445,21481,21481,0.1,0.1,Ings,65,0,0,0,1,0,0,0,1,0,0,0,0,1.0,12.5,33.0,4.7,253,24,96,8,34,12,84,14,,,,,1.0,,Danny Ings Ings,Forward,0.1,0,F,AVL,986,0.17820660769939423,0.015351141802966595,3.0,1.0,0.0,0.17820660769939423,0.27026960253715515,0.07671184092760086,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
30,,,98980,0,0,0,0,0,1,3.1,3.6,1,Emiliano,1.0,31,False,,,50,98980.jpg,0.2,Martínez Romero,5.9,False,,a,Aston Villa,7,1,8711,8711,24458,24458,0.2,0.2,Martínez,90,0,0,0,2,0,0,0,0,0,1,0,10,9.2,0.0,0.0,0.9,165,17,494,50,461,50,233,17,,,,,,,Emiliano Martínez Romero Martínez,Goalkeeper,0.2,0,GK,AVL,4401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
31,,,101184,0,0,0,0,0,2,1.9,2.4,0,Calum,0.0,32,False,,,45,101184.jpg,0.0,Chambers,0.3,False,,a,Aston Villa,7,0,703,703,2083,2083,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,359,156,355,153,296,123,375,156,,,,,,,Calum Chambers Chambers,Defender,0.0,0,D,AVL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
32,,,101188,0,0,0,0,0,2,2.3,2.8,1,Lucas,1.0,33,False,,,50,101188.jpg,0.2,Digne,4.2,False,,a,Aston Villa,7,1,6984,6984,20233,20233,0.2,0.2,Digne,90,0,0,0,2,0,0,0,0,0,0,0,11,13.2,22.4,8.0,4.4,129,63,46,10,110,23,88,23,1.0,,4.0,,,,Lucas Digne Digne,Defender,0.2,0,D,AVL,1823,0.0,0.08875220268964767,0.0,1.0,0.0,0.0,0.180815190076828,0.09206297993659973,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
33,,,110504,0,0,0,0,0,3,1.6,2.1,0,Bertrand,0.0,34,False,,,50,110504.jpg,0.0,Traoré,0.2,False,,a,Aston Villa,7,0,790,790,1880,1880,0.0,0.0,Traoré,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,488,196,496,204,463,183,499,202,,,,,,,Bertrand Traoré Traoré,Midfielder,0.0,0,M,AVL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
34,,,111782,0,0,0,0,0,1,1.0,1.5,0,Robin,0.0,35,False,,,40,111782.jpg,0.0,Olsen,2.0,False,,a,Aston Villa,7,0,3291,3291,3702,3702,0.0,0.0,Olsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,284,33,279,14,212,14,300,33,,,,,,,Robin Olsen Olsen,Goalkeeper,0.0,0,GK,AVL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
35,,,122775,0,0,0,0,0,3,1.0,1.5,0,Morgan,0.0,36,False,,,45,122775.jpg,0.0,Sanson,0.3,False,,a,Aston Villa,7,0,2256,2256,2162,2162,0.0,0.0,Sanson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,373,129,370,139,314,114,389,138,,,,,,,Morgan Sanson Sanson,Midfielder,0.0,0,M,AVL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
36,,,122806,0,0,0,0,0,3,2.0,2.5,2,John,2.0,37,False,,,55,122806.jpg,0.4,McGinn,1.9,False,,a,Aston Villa,7,2,3257,3257,9403,9403,0.4,0.4,McGinn,90,0,0,0,2,0,0,0,0,0,0,0,16,9.6,4.0,17.0,3.1,163,62,137,80,80,45,132,69,3.0,,,,,,John McGinn McGinn,Midfielder,0.4,0,M,AVL,7723,0.04115986078977585,0.0,3.0,0.0,0.0,0.04115986078977585,0.10135906934738159,0.06019921228289604,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
37,0.0,0.0,123354,0,0,0,0,0,2,0.0,0.0,0,Kortney,0.0,38,False,Knee injury - Unknown return date,2022-08-05T11:30:05.731214Z,45,123354.jpg,0.0,Hause,0.0,False,,i,Aston Villa,7,0,13,13,742,742,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,374,163,371,160,315,133,390,163,,,,,,,Kortney Hause Hause,Defender,0.0,0,D,AVL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
38,,,149484,0,0,0,0,0,2,1.9,2.4,0,Tyrone,0.0,39,False,,,45,149484.jpg,0.0,Mings,6.5,False,,a,Aston Villa,7,0,5947,5947,52022,52022,0.0,0.0,Mings,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,376,164,373,161,317,134,392,164,,,,,,,Tyrone Mings Mings,Defender,0.0,0,D,AVL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[2, 2, 3, 4]",2.75,"[2, 3, 4, 5]","['Everton', 'Crystal Palace', 'West Ham', 'Arsenal']","['H', 'a', 'H', 'a']"
